time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2000-12-12T21:54:09.670Z,44.969,142.419,273.6,4.2,mb,24,,,1.08,us,usp000a5z9,2014-11-07T01:11:43.594Z,"Hokkaido, Japan region",earthquake,,8.7,,9,reviewed,us,us
2000-12-12T10:03:39.190Z,45.981,151.826,91.3,4.2,mb,26,,,0.83,us,usp000a5yd,2014-11-07T01:11:43.396Z,"Kuril Islands",earthquake,,15.5,,4,reviewed,us,us
2000-12-12T06:52:35.670Z,37.421,70.063,33,4.6,mb,36,,,1.17,us,usp000a5y5,2014-11-07T01:11:43.381Z,"Hindu Kush region, Afghanistan",earthquake,,,,15,reviewed,us,us
2000-12-12T06:49:26.450Z,37.288,70.196,33,4.7,mb,36,,,1.32,us,usp000a5y4,2014-11-07T01:11:43.378Z,"Hindu Kush region, Afghanistan",earthquake,,,,16,reviewed,us,us
2000-12-11T17:52:10.530Z,36.463,4.78,10,4.4,mb,96,,,1.15,us,usp000a5wy,2014-11-07T01:11:43.229Z,"northern Algeria",earthquake,,,,4,reviewed,us,us
2000-12-11T12:07:48.150Z,52.88,160.778,33,4.3,mb,45,,,1.12,us,usp000a5wk,2014-11-07T01:11:43.166Z,"off the east coast of the Kamchatka Peninsula, Russia",earthquake,,,,20,reviewed,us,us
2000-12-11T04:15:26.220Z,36.997,73.011,74.8,4,mb,12,,,1.12,us,usp000a5vv,2014-11-07T01:11:43.115Z,"Hindu Kush region, Afghanistan",earthquake,,16.5,,2,reviewed,us,us
2000-12-10T17:20:14.740Z,39.721,54.654,13.8,4.5,mb,87,,,0.82,us,usp000a5uw,2014-11-07T01:11:43.028Z,"Turkmenistan",earthquake,,5,,45,reviewed,us,us
2000-12-10T14:59:53.630Z,56.533,121.851,33,4.3,mb,11,,,1.16,us,usp000a5uk,2014-11-07T01:11:42.599Z,"Amurskaya Oblast', Russia",earthquake,,,,1,reviewed,us,us
2000-12-10T14:41:10.400Z,37.47,71.932,132.3,4.1,mb,20,,,0.93,us,usp000a5uh,2014-11-07T01:11:42.456Z,"Tajikistan",earthquake,,11.5,,2,reviewed,us,us
2000-12-10T12:55:20.780Z,44.223,81.369,33,5.2,mb,172,,,0.91,us,usp000a5ua,2014-11-07T01:11:42.296Z,"northern Xinjiang, China",earthquake,,,,91,reviewed,us,us
2000-12-10T12:43:46.310Z,43.039,146.802,53.4,4.5,mb,48,,,0.76,us,usp000a5u8,2014-11-07T01:11:42.160Z,"Kuril Islands",earthquake,,6.9,,17,reviewed,us,us
2000-12-10T02:45:46.660Z,50.675,157.189,79.9,4.6,mb,70,,,1,us,usp000a5t8,2014-11-07T01:11:42.060Z,"Kuril Islands",earthquake,,5.4,,27,reviewed,us,us
2000-12-09T08:37:06.290Z,42.478,44.327,33,4.6,mb,16,,,1.41,us,usp000a5rt,2014-11-07T01:11:41.904Z,"Georgia (Sak'art'velo)",earthquake,,,,1,reviewed,us,us
2000-12-08T19:44:24.500Z,46.709,152.921,12.5,5.1,mwc,178,,,0.77,us,usp000a5qz,2016-11-10T00:09:11.169Z,"Kuril Islands",earthquake,,13.3,,,reviewed,us,hrv
2000-12-08T17:48:38.850Z,36.739,141.486,33,4,mb,21,,,1.25,us,usp000a5qu,2014-11-07T01:11:41.802Z,"near the east coast of Honshu, Japan",earthquake,,,,2,reviewed,us,us
2000-12-08T15:39:57.060Z,51.577,-178.129,80,4,mb,22,,,1.65,us,usp000a5qr,2020-02-20T20:33:59.101Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,13.6,,8,reviewed,us,us
2000-12-08T15:15:01.400Z,48.952,142.153,10,4.4,mb,12,,,0.69,us,usp000a5qj,2014-11-07T01:11:41.764Z,"Sakhalin, Russia",earthquake,,,,2,reviewed,us,us
2000-12-08T06:22:50.920Z,42.875,44.833,33,4.3,mb,27,,,1.04,us,usp000a5q0,2014-11-07T01:11:41.704Z,"Russia-Georgia border region",earthquake,,,,7,reviewed,us,us
